county,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price
56,1,3,1.0,2384,11761,1977,490000
10,1,4,3.5,5142,15682,1988,895000
48,1,3,2.0,3248,6534,2023,514990
56,1,5,1.0,2212,10019,1953,449900
56,1,4,3.0,1818,8276,2004,425000
44,1,4,2.0,2273,8276,2015,490000
32,1,3,1.0,1914,30492,1911,190000
10,1,3,2.5,1652,6970,2021,515000
48,1,5,2.0,3536,10890,2017,689900
34,0,2,1.0,784,436,1979,299900
44,1,4,2.5,2896,6098,2020,490000
48,1,7,3.5,3777,16988,2021,810000
34,1,2,1.0,705,8712,1950,340000
56,1,4,2.5,4607,14810,2021,839900
48,0,2,2.0,1435,2178,2002,410000
56,1,6,5.0,4780,40946,2007,1100000
10,1,6,2.0,2400,9583,1966,489900
34,1,5,3.5,4719,12632,2005,1325000
52,2,3,2.0,1171,4356,1995,324900
10,1,5,1.0,2156,5663,1985,496900
10,1,2,1.0,2822,14375,1980,485000
52,1,3,2.5,2235,25700,1998,495000
34,2,3,2.5,2210,2178,2024,425900
34,1,4,1.0,2214,9583,1948,750000
10,1,4,1.0,2489,10019,1978,516000
48,1,3,2.5,2126,0,2024,499990
48,1,3,2.5,2126,0,2024,489990
48,1,3,2.5,2385,0,2024,524990
44,1,4,3.5,2777,0,2024,549990
34,1,4,2.0,1742,6970,1976,425000
52,2,3,3.0,2148,0,1979,379900
48,1,4,2.5,2607,0,2024,547990
44,1,4,2.5,2607,0,2024,529990
34,0,3,2.0,1329,0,2024,397900
42,0,3,2.0,1261,0,2003,800000
42,2,3,2.0,1261,0,2003,800000
20,1,3,2.5,2115,22651,2023,648845
34,1,3,1.0,1158,10454,1975,389900
10,2,4,2.5,2080,871,2013,450000
34,2,3,1.5,1412,436,1999,449900
34,1,5,3.0,4355,6534,1996,1125000
50,1,5,3.5,3878,6534,2023,875000
50,1,5,6.0,3878,6534,2023,875000
52,1,3,1.0,1310,6970,1953,325000
44,1,4,3.0,3139,6534,2019,550000
42,1,5,4.5,4283,17424,2023,2350000
6,1,7,4.0,7000,53143,1984,635000
42,1,3,2.5,3578,130244,2023,1250000
42,1,2,2.0,1244,49223,1980,675000
52,2,3,2.0,1358,1307,1995,294990
48,1,6,3.0,3599,9148,2019,599999
56,0,2,1.0,968,0,1973,200000
42,1,4,4.0,3452,124582,2003,799000
48,2,3,2.0,1700,436,2020,426000
4,1,4,1.0,1938,11326,1938,388000
52,1,2,2.0,1152,121097,1972,375000
32,1,6,4.0,2893,5227,2022,880000
34,2,3,2.0,1272,0,2024,378900
34,2,3,2.0,1272,0,2024,368900
44,1,4,2.5,2730,4792,2023,460000
34,2,3,2.5,2105,1307,2023,630000
52,2,2,1.5,1028,871,1985,220000
22,1,6,2.0,3400,8276,2002,449900
20,1,4,2.0,1962,8276,1955,389900
48,1,6,3.0,2816,165528,1985,800000
34,1,6,2.0,2488,14375,1975,639000
34,2,2,1.5,1156,436,2000,370000
52,1,4,3.0,2459,7841,2023,639900
34,1,2,1.0,935,5663,1900,250000
20,2,2,2.0,900,0,1980,350000
44,1,3,1.5,3598,10890,2023,632386
48,2,3,2.5,2280,1307,2024,464900
10,1,4,2.0,2381,12197,1972,450000
52,2,2,2.5,1492,1742,2024,457900
52,2,2,2.5,1492,1742,2024,457900
52,1,5,2.5,2658,13939,1975,575000
34,1,6,3.5,5121,16117,2002,1249900
50,2,3,2.5,2747,1742,2024,1349999
34,2,3,3.5,2178,2178,1978,799000
52,1,3,2.0,1116,4356,2000,175000
48,1,4,3.5,4310,9148,2023,699990
52,1,3,2.0,1352,3049,1996,375000
48,2,3,2.5,2370,1307,2024,467900
20,1,3,2.0,1610,10454,2024,419999
34,2,3,2.5,1827,436,2013,474999
56,1,6,3.5,3765,15682,2008,740000
48,0,2,1.0,761,871,1984,269999
34,1,4,1.5,4410,12197,1959,1770000
48,0,3,2.0,1336,0,2022,339900
34,1,3,2.0,1898,3920,2021,564900
56,1,5,2.5,3450,21780,2024,619900
52,1,3,2.0,1643,6534,2012,489900
50,1,4,2.0,1660,13504,1920,500000
34,1,6,2.0,4161,10454,1996,925000
52,2,3,2.5,1459,1307,2024,393900
44,1,6,3.0,2296,7841,1997,410500
48,1,4,1.0,2077,6098,1954,425000
10,1,4,2.5,1808,5663,1991,460000
52,1,3,2.0,1334,6970,1973,499900
48,1,6,3.0,3128,8712,1959,610000
10,1,6,3.5,3891,13504,2007,875000
50,1,5,5.0,5200,18731,2013,2250000
12,1,3,1.0,864,217800,1983,255000
48,2,3,1.5,1768,1742,2002,400000
46,0,3,2.0,1172,0,2008,189000
34,1,3,2.0,1603,4792,1937,635000
52,1,3,3.0,1750,5663,2023,535000
34,1,3,2.5,2554,2614,2002,700000
10,0,3,2.0,1240,436,2000,280000
48,1,4,1.0,2352,6098,1981,475000
34,2,3,1.0,821,1742,1918,390000
34,1,5,4.0,4968,6534,2024,970000
34,1,5,3.5,3952,10454,1964,1599000
56,1,4,1.0,1978,9583,1986,450000
34,1,2,1.5,1950,7405,1983,470000
52,1,3,2.0,1222,7841,1996,399900
34,1,6,1.0,2604,9148,1948,725000
10,2,2,2.0,1840,871,2015,459900
48,1,3,2.5,2558,3485,2020,549900
34,1,5,3.5,3930,11326,1988,899950
48,2,3,2.5,2402,1307,2022,439000
4,1,4,2.5,2683,16988,2018,599900
48,0,2,1.5,976,436,1970,200000
48,1,5,1.0,3427,14375,1944,674900
34,1,6,3.5,3408,8712,1975,725000
34,1,5,3.0,2302,8276,1973,725000
34,1,3,2.0,3194,3920,2019,599900
52,1,6,3.0,2988,10454,2005,645000
42,1,3,1.5,3000,12197,1980,1200000
56,1,3,1.0,1353,6098,1887,275000
34,1,4,2.0,2653,4792,1956,1025000
56,1,3,2.5,1909,9583,2019,509000
4,1,3,2.0,3519,23087,2014,635000
52,1,4,2.5,2025,3049,2003,620000
20,2,3,2.5,1848,5663,2010,370000
20,1,3,2.5,1848,5663,2010,380000
34,1,3,2.0,1938,27878,1994,765000
34,2,2,2.5,1508,436,2002,384900
34,2,2,2.5,1427,1307,1998,385000
52,2,2,2.0,1031,1307,1983,279000
34,1,4,2.5,3585,6098,2024,687070
46,1,4,2.0,2003,37026,1902,320000
34,1,5,2.0,1976,6970,1958,510000
48,1,4,2.5,4355,10454,2024,930900
48,1,4,2.5,3189,7841,2006,700000
48,1,4,3.5,2865,7405,2007,534900
52,2,3,2.5,1475,871,2015,310000
48,2,3,2.5,1550,871,2024,389000
48,2,3,2.5,1550,871,2022,389000
56,2,3,2.5,1895,436,2023,409000
48,1,3,2.0,3848,3049,2006,740000
10,2,3,1.5,2785,1307,2024,459900
56,1,3,1.5,1636,1307,2024,569500
56,1,4,3.5,2119,7841,2000,499999
34,1,4,3.0,1693,10454,1997,455000
4,1,6,1.5,3532,87120,1978,725000
44,1,4,3.5,2021,10454,2001,452500
34,1,4,1.0,2016,7841,1954,699000
48,0,3,2.0,1272,1307,2020,335000
34,1,6,2.0,3750,7841,2003,619900
48,1,5,2.5,2573,436,2002,538000
48,1,6,3.5,4272,8276,2006,549900
34,1,3,2.5,2865,7841,2016,550000
20,2,3,2.5,2187,871,2024,357990
52,1,3,2.5,2791,11761,2020,850000
34,1,4,1.0,1950,10019,1953,490000
52,1,4,2.0,1709,6534,2024,489990
10,1,6,3.5,3920,10890,2021,895000
34,1,4,2.0,2395,10019,1995,575000
34,1,3,1.0,2609,9148,1954,700000
52,1,3,2.5,2024,6970,2024,549990
10,1,4,1.0,1724,8276,1991,449900
52,2,3,2.5,1555,1307,2023,399990
34,2,3,2.5,1265,436,2002,360000
18,1,3,2.0,1658,16117,2017,830000
10,1,5,3.5,3530,11761,2012,679000
34,1,5,2.5,4403,12197,2024,1064500
34,1,4,2.0,5156,11326,1991,950000
10,1,5,1.0,2850,24829,1978,620000
10,1,4,3.0,2297,9583,1980,400000
50,2,3,3.5,1946,436,2023,1350000
20,0,1,1.0,375,0,1984,200000
18,1,3,1.0,1512,7405,1969,569000
48,1,3,2.0,2587,7405,2024,489900
50,0,2,2.0,1059,0,2005,449000
20,1,4,4.0,4484,15246,1997,2490000
34,1,5,4.5,5736,12632,2014,1950000
52,2,2,2.0,1070,0,2023,497000
