county,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price
Washington,Single Family,4.0,2.5,2709.0,8712.0,2023.0,669900.0
Utah,Single Family,5.0,2.5,3340.0,8276.0,2011.0,610000.0
Salt Lake,Condo,3.0,1.0,2842.0,436.0,2011.0,4500000.0
Wasatch,Single Family,4.0,2.5,3100.0,13939.0,2002.0,999500.0
Wasatch,Condo,1.0,1.0,485.0,436.0,2003.0,179000.0
Salt Lake,Townhouse,3.0,2.5,2182.0,1742.0,2011.0,480000.0
Utah,Single Family,4.0,3.0,4476.0,9148.0,2021.0,690000.0
Davis,Single Family,4.0,1.5,2295.0,7405.0,1958.0,525000.0
Salt Lake,Condo,2.0,2.0,1206.0,436.0,2002.0,344899.0
Salt Lake,Single Family,4.0,1.0,1920.0,7841.0,1964.0,674900.0
Utah,Single Family,3.0,1.0,1746.0,12197.0,1896.0,485000.0
Wasatch,Single Family,3.0,2.5,2675.0,7405.0,2024.0,778300.0
Davis,Single Family,5.0,2.0,2394.0,7405.0,1965.0,529000.0
Davis,Townhouse,2.0,1.5,1260.0,436.0,2001.0,330000.0
Salt Lake,Condo,1.0,1.0,368.0,436.0,1919.0,229900.0
Salt Lake,Townhouse,3.0,2.5,1495.0,2178.0,2005.0,339000.0
Salt Lake,Townhouse,3.0,3.0,1801.0,436.0,2023.0,441465.0
Salt Lake,Single Family,5.0,1.0,1918.0,6970.0,1903.0,515000.0
Cache,Single Family,3.0,1.0,2400.0,12632.0,1961.0,395000.0
Box Elder,Single Family,4.0,3.0,1850.0,10454.0,1961.0,399900.0
Utah,Single Family,5.0,3.5,6222.0,21780.0,2006.0,989000.0
Salt Lake,Single Family,5.0,3.5,4851.0,11761.0,1994.0,1399900.0
Salt Lake,Single Family,5.0,1.0,2268.0,9583.0,1975.0,520000.0
Wasatch,Townhouse,4.0,3.5,2638.0,1742.0,2023.0,2225000.0
Utah,Single Family,4.0,2.5,5341.0,20473.0,2018.0,950000.0
Washington,Single Family,4.0,2.5,2458.0,6098.0,2023.0,599990.0
Utah,Townhouse,3.0,2.5,1672.0,1742.0,2007.0,450000.0
Uintah,Single Family,5.0,1.0,3100.0,87120.0,1962.0,615000.0
Washington,Single Family,2.0,2.0,1348.0,2178.0,2020.0,450000.0
Utah,Single Family,5.0,3.0,2446.0,6970.0,2023.0,534900.0
Davis,Single Family,3.0,2.0,2402.0,12632.0,1967.0,575000.0
Washington,Single Family,5.0,5.0,5260.0,12632.0,2024.0,1099999.0
Cache,Single Family,3.0,2.0,1772.0,5227.0,2003.0,409900.0
Summit,Single Family,4.0,2.0,2602.0,424274.0,1982.0,1650000.0
Utah,Townhouse,3.0,2.5,1957.0,871.0,2022.0,410000.0
Utah,Single Family,4.0,2.0,1800.0,6534.0,1949.0,439000.0
Utah,Single Family,5.0,4.0,3452.0,228690.0,1994.0,1295000.0
Salt Lake,Single Family,6.0,3.5,2970.0,10890.0,1998.0,620000.0
Tooele,Single Family,4.0,2.0,1589.0,6098.0,2004.0,420000.0
Weber,Single Family,4.0,2.0,1674.0,7405.0,1938.0,358000.0
Weber,Single Family,5.0,3.0,2906.0,10454.0,2001.0,599900.0
Wasatch,Condo,2.0,2.0,1041.0,436.0,2020.0,399000.0
Box Elder,Single Family,3.0,1.5,2232.0,9583.0,1960.0,375500.0
Salt Lake,Single Family,5.0,3.5,3975.0,9148.0,2012.0,709900.0
Salt Lake,Condo,4.0,2.0,3140.0,436.0,1998.0,535000.0
Salt Lake,Single Family,6.0,3.5,3206.0,7841.0,2011.0,650000.0
Utah,Single Family,7.0,3.5,5890.0,21344.0,1996.0,1497000.0
Utah,Single Family,6.0,3.5,6935.0,15246.0,2006.0,1200000.0
Salt Lake,Single Family,5.0,3.0,1964.0,7841.0,2005.0,549900.0
Iron,Single Family,3.0,2.0,1205.0,8712.0,1935.0,318500.0
Davis,Single Family,4.0,2.0,1898.0,13068.0,1998.0,525000.0
Salt Lake,Single Family,4.0,3.0,3172.0,5663.0,2011.0,800000.0
Salt Lake,Single Family,4.0,3.0,3172.0,5663.0,2011.0,800000.0
Davis,Single Family,3.0,2.0,1742.0,13939.0,1978.0,435000.0
Salt Lake,Condo,2.0,2.0,1080.0,436.0,1985.0,315000.0
Salt Lake,Single Family,3.0,3.0,3024.0,10890.0,1977.0,599000.0
Davis,Single Family,4.0,1.0,1658.0,10454.0,1998.0,430000.0
Wasatch,Single Family,6.0,3.5,3833.0,6534.0,2015.0,775000.0
Salt Lake,Single Family,3.0,1.0,1176.0,6970.0,1954.0,410000.0
Utah,Single Family,3.0,3.0,1939.0,3049.0,2024.0,497900.0
Weber,Single Family,3.0,1.0,2384.0,11761.0,1977.0,490000.0
Davis,Single Family,4.0,3.5,5142.0,15682.0,1988.0,895000.0
Utah,Single Family,3.0,2.0,3248.0,6534.0,2023.0,514990.0
Weber,Single Family,5.0,1.0,2212.0,10019.0,1953.0,449900.0
Weber,Single Family,4.0,3.0,1818.0,8276.0,2004.0,425000.0
Tooele,Single Family,4.0,2.0,2273.0,8276.0,2015.0,490000.0
