Actual,Predicted
399999,447895.45219611714
139500,321986.91080197936
369900,357873.1823170304
464900,513181.36538274836
399900,420191.8531903153
430000,413128.14178688586
685000,759696.2037186759
524000,501991.5864952314
535000,593434.8752463371
420000,406473.4147787423
425000,387768.31695154734
305000,234459.16960172856
539900,541167.2959428541
556150,536407.9912273403
895000,788876.8570086566
649900,751531.7722758602
494400,489781.6079167853
759527,694218.0932033331
850000,700898.376557164
317700,365318.5943647323
639900,654419.5776383872
415000,353273.2090053704
489000,421604.8021961406
490000,492318.24918917776
599900,576656.4849730885
624900,600755.9533417997
515000,471418.6853718996
459900,455308.85665480886
599900,581108.2511954488
305000,336317.1593204537
345000,402600.1447429241
568800,601181.363618755
405000,495997.6317199188
2950000,2470366.378989862
859000,1025775.7587504709
724000,570042.1340508484
495000,566478.8747588224
614000,523617.64787647896
1695000,998600.7868220444
1099999,958019.0826671929
2300000,1717351.379765415
799000,785756.5244454618
599900,570071.687745503
585000,505153.04248085374
461000,485280.01820814353
624900,752254.0186985093
219900,305235.0237568773
549900,503336.08704742196
575000,600293.5871957147
389000,382751.37722810544
412000,393563.88709038537
789000,682351.8163348238
515000,420218.79058572283
944000,891021.8444577331
385000,424398.8418331444
350000,294324.75973009755
550000,617307.236012924
875000,792702.2994129435
410000,387679.3961919691
348990,385729.5167751172
730000,743641.5365589543
450000,522668.6740301864
494985,596238.0107665553
499900,544721.1817812069
449000,425069.13857258623
435000,585821.6640597538
639000,585571.1686190403
379900,423738.90432248515
445000,416460.23295557534
1159000,2241658.513449319
535000,426139.0021811587
849000,917841.9288254405
399900,401596.888880181
539000,617307.236012924
249900,486988.8414798547
324900,317377.38640171953
499000,582373.5860566747
1499000,3794533.0290043377
499900,534073.4548383643
749900,810918.9211423091
489900,834392.626250014
555990,518382.939611168
549900,584722.5677750484
425000,522571.2319451892
439000,486988.290146234
440000,617470.5922691113
360890,329245.18756899785
635000,522570.7032522366
460000,443218.94087342994
375000,365517.7384705249
355000,368266.59934660845
2100000,1803018.7613917412
1599000,1140434.8335178075
358000,388193.5124927019
379800,391760.2745995959
470000,508975.2229623363
625000,540580.2549716921
475000,584921.1567932067
1345000,1385872.5308513397
525000,493436.8209248873
450000,445068.3317297429
479000,549728.6287265307
453000,424427.82328674535
634900,662110.8207412795
440000,498518.02846309415
799000,935831.9523716484
430000,417024.06339203374
399900,465004.0897058347
450000,461860.7271913106
465000,462097.5833072273
475000,468087.50842514413
439990,494593.2126567938
239800,246484.1816978771
325000,441339.3508427817
329900,262297.21527363395
989900,621332.6941731032
505000,539317.3986351432
424900,577776.2083045079
385000,376746.69171128515
555000,542834.9231420634
349900,385406.4466620217
430000,542817.6980463788
420000,439528.4943292797
650000,479507.31236964307
440000,470369.4016207484
269000,321822.5498103452
525000,382087.21225206007
824731,763363.2131760723
575000,472571.12072619825
674999,589190.2635432937
1999000,1614047.5083671282
350000,496328.9786203505
420000,445773.5182227318
520000,521717.97025217366
568500,544999.5239970919
419000,504423.5083135049
699990,911228.8151418503
389900,345628.8872109147
1439900,1145516.218026575
345000,332440.10137658264
950000,884020.0422193093
675000,705468.6572336972
444900,492301.2730790014
530000,583991.7512705692
789000,616445.8102103071
425000,411203.87730002805
699900,651938.4429037716
579000,489419.9906337787
525000,708708.2299700299
410000,493970.94670481933
320000,445494.4487797242
694900,548982.8619754396
720000,780311.791261898
1195000,2531340.5326417563
799000,685849.4527922046
915000,745400.6601065518
699900,547805.0245336932
529900,554679.9672867075
729900,769326.751601888
390000,429586.35221737763
3750000,2557718.527652711
849900,931555.046670121
359900,305035.3505405853
448000,493816.61444311606
788000,983435.5736880924
325000,369702.0755780558
950000,1092508.6283709726
1300000,838405.8930527645
1350000,1096326.5293091747
915000,1029570.3068802265
1250000,842895.0409085378
204000,221052.01213450005
475000,472472.97048133763
549900,506761.2200647652
469999,440779.3064966128
469900,507496.3487056141
628000,729140.650209972
881900,1233466.398134711
598900,687532.5789513221
1499999,1554980.5180894758
520000,535681.9971744184
475000,451464.1771879332
375000,428064.5561475233
440000,533464.4174734763
469000,555501.8536490152
809900,1162361.9262655338
2430000,2181690.7732573734
599900,563671.768402659
539900,523179.97450632893
360000,354646.4452006258
554900,664011.1727112002
345000,349934.18604644074
1575000,1869138.9248268
295000,290092.19426342344
649000,634271.4687379125
598000,544426.5150587311
560000,581687.7572239462
950000,773358.1245249163
685000,635163.5319647025
420000,396453.9061571822
249999,297654.1336298397
699900,730082.8903007657
915000,974278.736928351
575000,546014.8310351582
457000,549270.2117993891
3400000,2180206.858579678
459000,473108.062816864
1150000,845861.9578457294
2550000,3057451.9576762104
587000,552953.911944238
455000,388575.1504325978
249000,2185500.953930183
400000,554226.8695289406
400000,392591.4301231192
790000,730116.2333678685
465000,464218.945499164
365000,348546.38234914234
1450000,1349998.5558899157
650000,633178.2374200964
179400,203586.95929842064
635000,616982.5773363777
462000,421328.5204123721
439900,425222.9401633754
334900,366488.5786533499
735000,958229.708193761
609000,538094.08990684
384990,388618.3987899136
3000000,2075568.5275656728
624900,505615.0150430871
424900,405119.2277975971
579900,596574.0835428557
475000,542218.1983978116
485000,463455.24546554533
1325000,894939.7932152329
424900,506384.0422528742
400000,370622.696666438
769000,1126341.606816829
485000,455234.00083086704
445000,564807.8373722635
150000,183946.4367289985
435000,423463.4105367617
489000,400111.91494382493
849900,944866.2184469284
410000,402833.2953041845
354000,337334.8502829602
459000,447364.4513442359
440000,569897.5085401246
465000,539254.0395811106
375000,507846.21802254056
414888,428654.51061700314
993400,1429725.9777972116
443000,636726.2887382798
369900,383008.7760564367
474500,557385.130481335
460000,614584.7955825534
285000,347505.3483201702
349800,375183.93292922154
719900,948167.4920062663
275000,378893.1091386903
379000,357166.2772577194
482000,450302.01817430777
479000,553447.9046496337
525000,522273.5739594345
525000,429686.17923585966
4875000,4627380.731969569
725000,673868.0947051498
674990,839954.2978664872
265000,416596.9062969878
419000,415630.10269489314
625000,629107.4460872146
225000,289328.32149463054
374900,410878.40665338316
4795000,4498432.850347091
397000,475539.790577216
680000,835751.8717064548
384990,369183.5510958328
536000,879972.0286943563
690000,647989.9344216837
479900,468735.20864744455
385000,443578.9994095865
950000,754401.4248952782
490000,438210.50521637144
58000,240195.1886678263
349000,353434.6981732476
549000,528723.7460708437
310000,329139.07626796217
450000,446422.6181418365
343990,517430.9525831794
429990,479789.03082208853
499900,567686.153067306
750000,590638.493601596
360400,340975.48982757505
376999,369301.90794374177
599000,532836.8933691283
525000,912834.9411341657
499900,530886.1628826837
379900,433185.71976900246
400000,428654.51061700314
299000,321822.5498103452
539000,430479.6056940656
705000,882350.0986434441
695000,563171.7690774936
1350000,966853.7025448049
3000000,1104600.7837376492
436000,489446.8867952094
565000,777850.5423395552
820000,950802.8100959229
579000,622642.4158651972
724990,719523.177731231
799999,772469.4197950553
359000,319024.83702881605
410000,453520.38159290387
639900,621367.2746244351
1600000,1241680.4852060422
799000,844447.0610915028
425000,482382.49562526325
434900,391711.87461847404
1200000,960095.70885475
399900,447293.7581229568
2365000,2071808.9195913002
539900,605800.4042959366
525971,551061.8083679602
339000,334293.17754951597
379000,295337.47491936054
1150000,1033958.2609293988
454000,458214.87697720964
189900,272418.85446920176
415000,387447.8374576177
1050000,1055158.631782053
359000,350009.21493911755
539900,541191.1459290225
445000,483188.2751547083
420000,507402.18630304903
455000,514840.51950057416
399000,453634.13111469627
479000,461499.9839510013
379000,398850.65072168066
674900,738432.5427130801
399900,738023.0024698611
399000,411495.1531796765
475000,518601.0021606315
524999,585190.5274866855
440000,552132.4984016054
635000,583401.8975883583
670000,551380.5652571955
655000,593624.8794994026
525000,456112.9479841326
664900,567695.6246740345
295000,358025.3542388615
679000,718328.7565349878
485000,507589.77111536765
884900,908122.2088444958
710000,607972.0381216548
474900,441511.7376376891
395000,421574.49090455566
244900,230238.68548449068
450000,485554.3048683782
349900,310661.9914413513
744900,1009310.2994039487
650000,681429.7578395146
444900,442809.2829157185
299995,294698.1656928327
310000,323698.5917359463
299900,333399.58964306087
499900,552434.5148913311
415000,386535.24703869416
645000,567272.7412317082
448000,430996.57992353686
525000,433826.2364594259
280000,298036.12020343594
700000,956300.6506636996
950000,1244168.7211834758
840000,844710.521353978
419900,443837.01347501366
479999,469427.92570674425
447700,446610.14789089357
699999,687378.783746924
935000,806461.5354486711
749000,789079.5061006597
544900,669432.6359092398
669000,881118.1886863982
799000,1061051.6524522004
625000,653309.6865001003
249500,287100.963785527
450970,390974.63188074745
685000,770738.4467226131
599900,512954.5055404986
599900,734098.1151080283
490000,528100.6720126054
399900,433558.1835733407
389900,401684.66406935535
938202,1222331.70049051
980000,824104.0494469062
669990,664186.6043071051
3295000,2062505.4815019
629000,726865.3757465802
349900,415132.39790692757
450000,264185.2646798622
599900,609295.492283549
428000,407479.23314874223
625000,456764.8854638716
399900,490695.03535285895
769000,921027.270986276
419000,339298.5758076711
799000,530913.5363363627
575000,532606.0141071896
499000,482955.34986082674
380000,453966.8256939367
720000,1054638.9258776538
1395000,1242859.7457335982
499900,602388.426628672
549900,553853.5860412001
430000,421866.67319815076
650000,663086.4046790709
449900,530840.951965269
2000000,1141003.6604177114
1850000,1353066.7659749498
679900,609361.9837088003
550000,367182.8831959984
304999,336481.4872699724
215000,272418.01968259836
519999,557046.4081084711
240000,289328.32149463054
369000,367851.5964352221
385000,426716.14651435206
589900,561085.4140748301
574000,552318.2105871312
708000,632361.2366311946
479990,463665.90702387923
570000,504322.4306971134
514900,535774.8489768974
290000,291661.93265987706
433900,556628.3959556615
485000,580772.4218842627
299900,337415.2787779979
500000,650375.9906018863
1500000,1713736.1303456877
199000,249978.67139143462
619900,773817.5421434952
529900,417541.46305261145
429900,450360.5308434011
410000,398637.4577637861
280000,287546.19505979813
460000,470061.31976421794
289900,247125.5883155756
480000,671923.5506369227
900000,1030935.340530065
540000,595576.9492905821
389000,410399.4275553919
489000,515434.4381106442
400000,493268.09853840416
415000,506062.79986652266
420000,373915.6086446594
454000,440639.0167302039
619990,579106.9194120382
459900,520677.7479820785
325000,312127.38577164145
374900,392932.58991613955
649990,751706.1607239501
749900,791053.3961442542
995000,729148.6540453227
395000,651218.8211320272
319900,320241.4925606143
700000,760355.5480643095
13500000,8449602.386932695
1379000,938678.4843122162
739900,661095.742754134
725000,738624.5408898307
